codigo_distrito;distrito;ano;grupo_idades;populacao
80001;Água Rasa;2000;00 a 14 anos;15682
80002;Alto de Pinheiros;2000;00 a 14 anos;6489
80003;Anhanguera;2000;00 a 14 anos;12412
80004;Aricanduva;2000;00 a 14 anos;21970
80005;Artur Alvim;2000;00 a 14 anos;25200
80006;Barra Funda;2000;00 a 14 anos;2186
80007;Bela Vista;2000;00 a 14 anos;8829
80008;Belém;2000;00 a 14 anos;7390
80009;Bom Retiro;2000;00 a 14 anos;5435
80010;Brás;2000;00 a 14 anos;5500
80011;Brasilândia;2000;00 a 14 anos;75120
80012;Butantã;2000;00 a 14 anos;8656
80013;Cachoeirinha;2000;00 a 14 anos;42291
80014;Cambuci;2000;00 a 14 anos;5045
80015;Campo Belo;2000;00 a 14 anos;11082
80016;Campo Grande;2000;00 a 14 anos;19450
80017;Campo Limpo;2000;00 a 14 anos;53686
80018;Cangaíba;2000;00 a 14 anos;35138
80019;Capão Redondo;2000;00 a 14 anos;69797
80020;Carrão;2000;00 a 14 anos;15590
80021;Casa Verde;2000;00 a 14 anos;17422
80022;Cidade Ademar;2000;00 a 14 anos;66446
80023;Cidade Dutra;2000;00 a 14 anos;52238
80024;Cidade Líder;2000;00 a 14 anos;31212
80025;Cidade Tiradentes;2000;00 a 14 anos;62717
80026;Consolação;2000;00 a 14 anos;6288
80027;Cursino;2000;00 a 14 anos;20732
80028;Ermelino Matarazzo;2000;00 a 14 anos;28917
80029;Freguesia do Ó;2000;00 a 14 anos;33109
80030;Grajaú;2000;00 a 14 anos;104351
80031;Guaianases;2000;00 a 14 anos;30470
80032;Moema;2000;00 a 14 anos;10063
80033;Iguatemi;2000;00 a 14 anos;32234
80034;Ipiranga;2000;00 a 14 anos;19620
80035;Itaim Bibi;2000;00 a 14 anos;11284
80036;Itaim Paulista;2000;00 a 14 anos;66646
80037;Itaquera;2000;00 a 14 anos;56983
80038;Jabaquara;2000;00 a 14 anos;49766
80039;Jaçanã;2000;00 a 14 anos;23096
80040;Jaguara;2000;00 a 14 anos;5255
80041;Jaguaré;2000;00 a 14 anos;10303
80042;Jaraguá;2000;00 a 14 anos;42833
80043;Jardim Ângela;2000;00 a 14 anos;77381
80044;Jardim Helena;2000;00 a 14 anos;43392
80045;Jardim Paulista;2000;00 a 14 anos;9598
80046;Jardim São Luís;2000;00 a 14 anos;66515
80047;José Bonifácio;2000;00 a 14 anos;26946
80048;Lapa;2000;00 a 14 anos;9075
80049;Liberdade;2000;00 a 14 anos;10125
80050;Limão;2000;00 a 14 anos;18866
80051;Mandaqui;2000;00 a 14 anos;22752
80052;Marsilac;2000;00 a 14 anos;2951
80053;Mooca;2000;00 a 14 anos;10312
80054;Morumbi;2000;00 a 14 anos;6907
80055;Parelheiros;2000;00 a 14 anos;34617
80056;Pari;2000;00 a 14 anos;2648
80057;Parque do Carmo;2000;00 a 14 anos;18175
80058;Pedreira;2000;00 a 14 anos;38575
80059;Penha;2000;00 a 14 anos;25241
80060;Perdizes;2000;00 a 14 anos;15259
80061;Perus;2000;00 a 14 anos;21568
80062;Pinheiros;2000;00 a 14 anos;8176
80063;Pirituba;2000;00 a 14 anos;38731
80064;Ponte Rasa;2000;00 a 14 anos;23329
80065;Raposo Tavares;2000;00 a 14 anos;24862
80066;República;2000;00 a 14 anos;6785
80067;Rio Pequeno;2000;00 a 14 anos;28041
80068;Sacomã;2000;00 a 14 anos;55648
80069;Santa Cecília;2000;00 a 14 anos;10666
80070;Santana;2000;00 a 14 anos;20643
80071;Santo Amaro;2000;00 a 14 anos;8763
80072;São Lucas;2000;00 a 14 anos;30843
80073;São Mateus;2000;00 a 14 anos;41537
80074;São Miguel;2000;00 a 14 anos;25973
80075;São Rafael;2000;00 a 14 anos;38211
80076;Sapopemba;2000;00 a 14 anos;78012
80077;Saúde;2000;00 a 14 anos;18578
80078;Sé;2000;00 a 14 anos;3907
80079;Socorro;2000;00 a 14 anos;7296
80080;Tatuapé;2000;00 a 14 anos;13314
80081;Tremembé;2000;00 a 14 anos;43948
80082;Tucuruvi;2000;00 a 14 anos;18433
80083;Vila Andrade;2000;00 a 14 anos;21411
80084;Vila Curuçá;2000;00 a 14 anos;44615
80085;Vila Formosa;2000;00 a 14 anos;19296
80086;Vila Guilherme;2000;00 a 14 anos;9421
80087;Vila Jacuí;2000;00 a 14 anos;43353
80088;Vila Leopoldina;2000;00 a 14 anos;5060
80089;Vila Maria;2000;00 a 14 anos;27854
80090;Vila Mariana;2000;00 a 14 anos;17516
80091;Vila Matilde;2000;00 a 14 anos;22437
80092;Vila Medeiros;2000;00 a 14 anos;32202
80093;Vila Prudente;2000;00 a 14 anos;20779
80094;Vila Sônia;2000;00 a 14 anos;20226
80095;São Domingos;2000;00 a 14 anos;19384
80096;Lajeado;2000;00 a 14 anos;51788
80001;Água Rasa;2005;00 a 14 anos;14225
80002;Alto de Pinheiros;2005;00 a 14 anos;6057
80003;Anhanguera;2005;00 a 14 anos;15159
80004;Aricanduva;2005;00 a 14 anos;19548
80005;Artur Alvim;2005;00 a 14 anos;22802
80006;Barra Funda;2005;00 a 14 anos;2133
80007;Bela Vista;2005;00 a 14 anos;8322
80008;Belém;2005;00 a 14 anos;7425
80009;Bom Retiro;2005;00 a 14 anos;5940
80010;Brás;2005;00 a 14 anos;5439
80011;Brasilândia;2005;00 a 14 anos;71914
80012;Butantã;2005;00 a 14 anos;7975
80013;Cachoeirinha;2005;00 a 14 anos;37858
80014;Cambuci;2005;00 a 14 anos;5635
80015;Campo Belo;2005;00 a 14 anos;10235
80016;Campo Grande;2005;00 a 14 anos;18850
80017;Campo Limpo;2005;00 a 14 anos;52075
80018;Cangaíba;2005;00 a 14 anos;31805
80019;Capão Redondo;2005;00 a 14 anos;68307
80020;Carrão;2005;00 a 14 anos;14543
80021;Casa Verde;2005;00 a 14 anos;16407
80022;Cidade Ademar;2005;00 a 14 anos;63952
80023;Cidade Dutra;2005;00 a 14 anos;48220
80024;Cidade Líder;2005;00 a 14 anos;29757
80025;Cidade Tiradentes;2005;00 a 14 anos;61085
80026;Consolação;2005;00 a 14 anos;5696
80027;Cursino;2005;00 a 14 anos;19480
80028;Ermelino Matarazzo;2005;00 a 14 anos;27416
80029;Freguesia do Ó;2005;00 a 14 anos;29647
80030;Grajaú;2005;00 a 14 anos;100298
80031;Guaianases;2005;00 a 14 anos;28679
80032;Moema;2005;00 a 14 anos;10245
80033;Iguatemi;2005;00 a 14 anos;33302
80034;Ipiranga;2005;00 a 14 anos;18759
80035;Itaim Bibi;2005;00 a 14 anos;10981
80036;Itaim Paulista;2005;00 a 14 anos;62157
80037;Itaquera;2005;00 a 14 anos;52354
80038;Jabaquara;2005;00 a 14 anos;46583
80039;Jaçanã;2005;00 a 14 anos;21957
80040;Jaguara;2005;00 a 14 anos;4749
