Cód. IBGE;Ano;Nascidos vivos
3500000;2020;321
3500105;2020;392
3500204;2020;47
3500303;2020;393
3500402;2020;63
3500501;2020;218
3500550;2020;62
3500600;2020;36
3500709;2020;486
3500758;2020;71
3500808;2020;42
3500907;2020;36
3501004;2020;160
3501103;2020;37
3501152;2020;200
3501202;2020;34
3501301;2020;323
3501400;2020;34
3501509;2020;35
3501608;2020;2.430
3501707;2020;413
3501806;2020;59
3501905;2020;766
3502002;2020;43
3502101;2020;626
3502200;2020;321
3502309;2020;67
3502408;2020;60
3502507;2020;373
3502606;2020;28
3502705;2020;359
3502754;2020;343
3502804;2020;2.196
3502903;2020;366
3503000;2020;68
3503109;2020;91
3503158;2020;15
3503208;2020;2.577
3503307;2020;1.480
3503356;2020;24
3503406;2020;108
3503505;2020;38
3503604;2020;134
3503703;2020;57
3503802;2020;603
3503901;2020;1.339
3503950;2020;21
3504008;2020;1.069
3504107;2020;1.973
3504206;2020;153
3504305;2020;71
3504404;2020;127
3504503;2020;1.195
3504602;2020;318
3504701;2020;11
3504800;2020;94
3504909;2020;108
3505005;2020;47
3505104;2020;65
3505203;2020;374
3505302;2020;289
3505351;2020;87
3505401;2020;89
3505500;2020;1.423
3505609;2020;462
3505708;2020;5.491
3505807;2020;259
3505906;2020;721
3506003;2020;4.365
3506102;2020;919
3506201;2020;35
3506300;2020;95
3506359;2020;960
3506409;2020;70
3506508;2020;1.261
3506607;2020;361
3506706;2020;180
3506805;2020;126
3506904;2020;97
3507001;2020;770
3507100;2020;346
3507159;2020;66
3507209;2020;17
3507308;2020;59
3507407;2020;144
3507456;2020;39
3507506;2020;1.649
3507605;2020;2.132
3507704;2020;60
3507753;2020;16
3507803;2020;293
3507902;2020;278
3508009;2020;345
3508108;2020;174
3508207;2020;51
3508306;2020;44
3508405;2020;721
3508504;2020;1.144
3508603;2020;433
3508702;2020;220
3508801;2020;215
3508900;2020;46
3509007;2020;1.213
3509106;2020;33
3509205;2020;1.437
3509254;2020;440
3509304;2020;100
3509403;2020;296
3509452;2020;81
3509502;2020;13.645
3509601;2020;916
3509700;2020;666
3509809;2020;63
3509908;2020;169
3509957;2020;79
3510005;2020;339
3510104;2020;23
3510153;2020;87
3510203;2020;565
3510302;2020;305
3510401;2020;685
3510500;2020;1.764
3510609;2020;5.694
3510708;2020;96
3510807;2020;292
3510906;2020;14
3511003;2020;197
3511102;2020;1.286
3511201;2020;73
3511300;2020;122
3511409;2020;242
3511508;2020;466
3511607;2020;239
3511706;2020;180
3511904;2020;85
3512001;2020;190
3512100;2020;71
3512209;2020;422
3512308;2020;162
3512407;2020;309
3512506;2020;58
3512605;2020;48
3512704;2020;62
3512803;2020;643
3512902;2020;62
3513009;2020;3.892
3513108;2020;392
3513207;2020;113
3513306;2020;22
3513405;2020;887
3513504;2020;1.591
3513603;2020;233
3513702;2020;354
3513801;2020;4.778
3513850;2020;27
3513900;2020;122
3514007;2020;106
3514106;2020;300
3514205;2020;31
3514304;2020;73
3514403;2020;468
3514502;2020;127
3514601;2020;112
3514700;2020;89
3514809;2020;190
3514908;2020;225
3514924;2020;22
3514957;2020;28
3515004;2020;3.557
3515103;2020;861
3515129;2020;37
3515152;2020;295
3515186;2020;424
3515194;2020;55
3515202;2020;86
3515301;2020;30
3515350;2020;103
3515400;2020;189
3515509;2020;706
3515608;2020;53
