Código IBGE;Ano;Município;Masculino;Feminino;Ignorado;Nascidos vivos;População 2021
3500000;2021;Estado sem especificação;54;47;0;101;0
3500105;2021;Adamantina;192;164;0;356;33.869
3500204;2021;Adolfo;26;22;0;48;3.436
3500303;2021;Aguaí;185;189;0;374;35.885
3500402;2021;Águas da Prata;30;30;0;60;7.807
3500501;2021;Águas de Lindóia;113;85;0;198;18.438
3500550;2021;Águas de Santa Bárbara;29;41;0;70;5.957
3500600;2021;Águas de São Pedro;19;11;0;30;3.144
3500709;2021;Agudos;234;256;0;490;36.255
3500758;2021;Alambari;39;27;0;66;5.856
3500808;2021;Alfredo Marcondes;33;17;0;50;3.924
3500907;2021;Altair;21;13;0;34;4.052
3501004;2021;Altinópolis;88;88;0;176;15.547
3501103;2021;Alto Alegre;19;13;0;32;4.006
3501152;2021;Alumínio;112;109;0;221;18.069
3501202;2021;Álvares Florence;16;13;0;29;3.596
3501301;2021;Álvares Machado;164;142;0;306;23.828
3501400;2021;Álvaro de Carvalho;17;19;0;36;5.079
3501509;2021;Alvinlândia;18;17;0;35;3.190
3501608;2021;Americana;1.225;1.168;0;2.393;235.075
3501707;2021;Américo Brasiliense;205;214;0;419;40.676
3501806;2021;Américo de Campos;26;30;0;56;5.730
3501905;2021;Amparo;383;384;0;767;69.861
3502002;2021;Analândia;24;14;0;38;4.895
3502101;2021;Andradina;321;322;0;643;56.087
3502200;2021;Angatuba;172;165;0;337;24.697
3502309;2021;Anhembi;39;33;0;72;6.755
3502408;2021;Anhumas;15;24;0;39;3.983
3502507;2021;Aparecida;172;185;0;357;35.744
3502606;2021;Aparecida d'Oeste;25;12;0;37;4.105
3502705;2021;Apiaí;154;130;0;284;24.711
3502754;2021;Araçariguama;151;174;0;325;21.289
3502804;2021;Araçatuba;1.088;1.017;0;2.105;190.921
3502903;2021;Araçoiaba da Serra;222;159;0;381;32.846
3503000;2021;Aramina;33;20;0;53;5.515
3503109;2021;Arandu;47;41;0;88;6.168
3503158;2021;Arapeí;14;7;0;21;2.469
3503208;2021;Araraquara;1.317;1.244;0;2.561;228.792
3503307;2021;Araras;703;693;0;1.396;131.931
3503356;2021;Arco-Íris;10;12;0;22;1.806
3503406;2021;Arealva;41;42;0;83;8.223
3503505;2021;Areias;31;29;0;60;3.860
3503604;2021;Areiópolis;57;60;0;117;10.900
