"","localidades","periodos","taxa_natalidade"
"1","Americana",1980,28.86
"2","Americana",1981,30.45
"3","Americana",1982,32.25
"4","Americana",1983,29.14
"5","Americana",1984,25
"6","Americana",1985,24.84
"7","Americana",1986,25.04
"8","Americana",1987,23.63
"9","Americana",1988,25.15
"10","Americana",1989,22.34
"11","Americana",1990,21.68
"12","Americana",1991,20.89
"13","Americana",1992,20.59
"14","Americana",1993,20.56
"15","Americana",1994,19.39
"16","Americana",1995,18.88
"17","Americana",1996,17.69
"18","Americana",1997,17.78
"19","Americana",1998,17.13
"20","Americana",1999,16.19
"21","Americana",2000,15.12
"22","Americana",2001,14.2
"23","Americana",2002,13.98
"24","Americana",2003,13.43
"25","Americana",2004,13.49
"26","Americana",2005,13.72
"27","Americana",2006,13.19
"28","Americana",2007,12.49
"29","Americana",2008,12.68
"30","Americana",2009,12.11
"31","Americana",2010,12.36
"32","Americana",2011,11.96
"33","Americana",2012,12.78
"34","Americana",2013,12.14
"35","Americana",2014,12.2
"36","Americana",2015,12.81
"37","Americana",2016,11.13
"38","Americana",2017,11.74
"39","Americana",2018,11.8
"40","Americana",2019,NA
"41","Americana",2020,NA
"42","Artur Nogueira",1980,16.39
"43","Artur Nogueira",1981,21.26
"44","Artur Nogueira",1982,24.68
"45","Artur Nogueira",1983,24.29
"46","Artur Nogueira",1984,19.62
"47","Artur Nogueira",1985,20.83
"48","Artur Nogueira",1986,19.74
"49","Artur Nogueira",1987,17.56
"50","Artur Nogueira",1988,17.82
"51","Artur Nogueira",1989,16.06
"52","Artur Nogueira",1990,16.33
"53","Artur Nogueira",1991,15.93
"54","Artur Nogueira",1992,19.9
"55","Artur Nogueira",1993,19.73
"56","Artur Nogueira",1994,20.54
"57","Artur Nogueira",1995,18.21
"58","Artur Nogueira",1996,18.51
"59","Artur Nogueira",1997,17.67
"60","Artur Nogueira",1998,19.21
"61","Artur Nogueira",1999,18.87
"62","Artur Nogueira",2000,20.11
"63","Artur Nogueira",2001,17.89
"64","Artur Nogueira",2002,15.73
"65","Artur Nogueira",2003,16.73
"66","Artur Nogueira",2004,15.91
"67","Artur Nogueira",2005,14.83
"68","Artur Nogueira",2006,15.25
"69","Artur Nogueira",2007,14.45
"70","Artur Nogueira",2008,14.27
"71","Artur Nogueira",2009,14.73
"72","Artur Nogueira",2010,13.66
"73","Artur Nogueira",2011,14.13
"74","Artur Nogueira",2012,14.63
"75","Artur Nogueira",2013,13.28
"76","Artur Nogueira",2014,12.67
"77","Artur Nogueira",2015,12.92
"78","Artur Nogueira",2016,13.44
"79","Artur Nogueira",2017,13.78
"80","Artur Nogueira",2018,13.37
"81","Artur Nogueira",2019,NA
"82","Artur Nogueira",2020,NA
"83","Campinas",1980,27.43
"84","Campinas",1981,31.11
"85","Campinas",1982,30.57
"86","Campinas",1983,26.64
"87","Campinas",1984,23.55
"88","Campinas",1985,23.72
"89","Campinas",1986,23.71
"90","Campinas",1987,22.79
"91","Campinas",1988,21.83
"92","Campinas",1989,20.25
"93","Campinas",1990,18.67
"94","Campinas",1991,19.25
"95","Campinas",1992,18.44
"96","Campinas",1993,17.98
"97","Campinas",1994,18.02
"98","Campinas",1995,17.78
"99","Campinas",1996,17.69
"100","Campinas",1997,18.13
"101","Campinas",1998,18.3
"102","Campinas",1999,17.65
"103","Campinas",2000,16.71
"104","Campinas",2001,14.9
"105","Campinas",2002,14.17
"106","Campinas",2003,13.81
"107","Campinas",2004,14.04
"108","Campinas",2005,13.61
"109","Campinas",2006,13.19
"110","Campinas",2007,13.37
"111","Campinas",2008,13.77
"112","Campinas",2009,13.94
"113","Campinas",2010,13.89
"114","Campinas",2011,13.61
"115","Campinas",2012,13.83
"116","Campinas",2013,13.93
"117","Campinas",2014,14.31
"118","Campinas",2015,14.39
"119","Campinas",2016,13.38
"120","Campinas",2017,13.47
"121","Campinas",2018,13.06
"122","Campinas",2019,NA
"123","Campinas",2020,NA
"124","Cosmópolis",1980,27.18
"125","Cosmópolis",1981,28.46
"126","Cosmópolis",1982,26.84
"127","Cosmópolis",1983,25.38
"128","Cosmópolis",1984,22.88
"129","Cosmópolis",1985,20.85
"130","Cosmópolis",1986,21.05
"131","Cosmópolis",1987,22.39
"132","Cosmópolis",1988,23.07
"133","Cosmópolis",1989,22.21
"134","Cosmópolis",1990,22.04
"135","Cosmópolis",1991,19.22
"136","Cosmópolis",1992,21.04
"137","Cosmópolis",1993,21.78
"138","Cosmópolis",1994,21.54
"139","Cosmópolis",1995,20.4
"140","Cosmópolis",1996,18.5
"141","Cosmópolis",1997,17.97
"142","Cosmópolis",1998,20.62
"143","Cosmópolis",1999,20.78
"144","Cosmópolis",2000,18.4
"145","Cosmópolis",2001,17.63
"146","Cosmópolis",2002,17.43
"147","Cosmópolis",2003,16.17
"148","Cosmópolis",2004,16.42
"149","Cosmópolis",2005,14.34
"150","Cosmópolis",2006,14.5
"151","Cosmópolis",2007,14.73
"152","Cosmópolis",2008,15.35
"153","Cosmópolis",2009,14.96
"154","Cosmópolis",2010,14.62
"155","Cosmópolis",2011,14.09
"156","Cosmópolis",2012,13.43
"157","Cosmópolis",2013,13.88
"158","Cosmópolis",2014,12.84
