"Localidades";"Períodos";"População Masculina";"População Masculina de 0 a 4 Anos";"População Masculina de 5 a 9 Anos";"População Masculina de 10 a 14 Anos";"População Masculina de 15 a 19 Anos";"População Masculina de 20 a 24 Anos";"População Masculina de 25 a 29 Anos";"População Masculina de 30 a 34 Anos";"População Masculina de 35 a 39 Anos";"População Masculina de 40 a 44 Anos";"População Masculina de 45 a 49 Anos";"População Masculina de 50 a 54 Anos";"População Masculina de 55 a 59 Anos";"População Masculina de 60 a 64 Anos";"População Masculina de 65 a 69 Anos";"População Masculina de 70 a 74 Anos";"População Masculina de 75 Anos e Mais";"População Feminina";"População Feminina de 0 a 4 Anos";"População Feminina de 5 a 9 Anos";"População Feminina de 10 a 14 Anos";"População Feminina de 15 a 19 Anos";"População Feminina de 20 a 24 Anos";"População Feminina de 25 a 29 Anos";"População Feminina de 30 a 34 Anos";"População Feminina de 35 a 39 Anos";"População Feminina de 40 a 44 Anos";"População Feminina de 45 a 49 Anos";"População Feminina de 50 a 54 Anos";"População Feminina de 55 a 59 Anos";"População Feminina de 60 a 64 Anos";"População Feminina de 65 a 69 Anos";"População Feminina de 70 a 74 Anos";"População Feminina de 75 Anos e Mais";"Cód. IBGE"
"Campinas";"1980";"328499";"40017";"34035";"33096";"34112";"36104";"31834";"25496";"20146";"17757";"14825";"12374";"9812";"6999";"5077";"3425";"3390";"333493";"38498";"32947";"32684";"35277";"37110";"32100";"25343";"19898";"17566";"14877";"12995";"10738";"8107";"6275";"4206";"4872";3509502
"Campinas";"1981";"335903";"40033";"34755";"33921";"34499";"36503";"32551";"26413";"21064";"18415";"15240";"12724";"10100";"7301";"5276";"3544";"3564";"341584";"38491";"33651";"33446";"35593";"37456";"32948";"26420";"20923";"18300";"15357";"13365";"11078";"8465";"6532";"4393";"5166";3509502
"Campinas";"1982";"343399";"40032";"35477";"34753";"34878";"36893";"33271";"27351";"22016";"19090";"15660";"13079";"10393";"7614";"5481";"3666";"3745";"349798";"38464";"34355";"34209";"35897";"37788";"33803";"27531";"21991";"19056";"15846";"13739";"11425";"8835";"6796";"4587";"5476";3509502
"Campinas";"1983";"350987";"40018";"36200";"35592";"35247";"37272";"33994";"28312";"23001";"19782";"16086";"13438";"10689";"7937";"5693";"3791";"3935";"358134";"38423";"35057";"34975";"36186";"38106";"34665";"28677";"23102";"19833";"16343";"14117";"11777";"9218";"7068";"4786";"5801";3509502
"Campinas";"1984";"358663";"39987";"36924";"36437";"35606";"37641";"34719";"29296";"24022";"20491";"16517";"13802";"10990";"8270";"5910";"3919";"4132";"366590";"38363";"35758";"35741";"36462";"38408";"35533";"29856";"24259";"20634";"16849";"14498";"12134";"9612";"7347";"4993";"6143";3509502
"Campinas";"1985";"366423";"39942";"37647";"37288";"35954";"37998";"35445";"30302";"25078";"21217";"16953";"14170";"11296";"8615";"6132";"4049";"4337";"375164";"38285";"36456";"36508";"36723";"38696";"36406";"31070";"25462";"21457";"17361";"14883";"12497";"10018";"7634";"5206";"6502";3509502
"Campinas";"1986";"374268";"39879";"38369";"38144";"36292";"38344";"36173";"31331";"26171";"21961";"17394";"14542";"11605";"8970";"6361";"4182";"4550";"383852";"38188";"37151";"37273";"36969";"38968";"37283";"32319";"26713";"22302";"17881";"15271";"12863";"10438";"7928";"5426";"6879";3509502
"Campinas";"1987";"382192";"39801";"39090";"39004";"36618";"38678";"36902";"32381";"27301";"22721";"17839";"14919";"11917";"9336";"6596";"4317";"4772";"392653";"38077";"37841";"38037";"37199";"39223";"38163";"33601";"28011";"23170";"18409";"15662";"13235";"10869";"8230";"5652";"7274";3509502
"Campinas";"1988";"390191";"39709";"39808";"39867";"36933";"38999";"37630";"33453";"28467";"23498";"18288";"15299";"12234";"9712";"6837";"4455";"5002";"401564";"37947";"38527";"38798";"37412";"39462";"39046";"34917";"29359";"24060";"18943";"16056";"13611";"11313";"8539";"5885";"7689";3509502
"Campinas";"1989";"398262";"39600";"40523";"40733";"37235";"39306";"38356";"34546";"29672";"24292";"18741";"15682";"12553";"10100";"7084";"4597";"5242";"410580";"37799";"39205";"39556";"37609";"39683";"39931";"36269";"30758";"24972";"19483";"16451";"13991";"11770";"8855";"6125";"8123";3509502
