"","cod_ibge","localidades","periodos","pop","genero","faixa_etaria","faixa"
"1",3512803,"Cosmópolis",2000,2144,"F","15_a_19","15_a_19"
"2",3512803,"Cosmópolis",2001,2183,"F","15_a_19","15_a_19"
"3",3512803,"Cosmópolis",2002,2220,"F","15_a_19","15_a_19"
"4",3512803,"Cosmópolis",2003,2253,"F","15_a_19","15_a_19"
"5",3512803,"Cosmópolis",2004,2286,"F","15_a_19","15_a_19"
"6",3512803,"Cosmópolis",2005,2315,"F","15_a_19","15_a_19"
"7",3512803,"Cosmópolis",2006,2341,"F","15_a_19","15_a_19"
"8",3512803,"Cosmópolis",2007,2367,"F","15_a_19","15_a_19"
"9",3512803,"Cosmópolis",2008,2391,"F","15_a_19","15_a_19"
"10",3512803,"Cosmópolis",2009,2415,"F","15_a_19","15_a_19"
"11",3512803,"Cosmópolis",2010,2437,"F","15_a_19","15_a_19"
"12",3512803,"Cosmópolis",2011,2471,"F","15_a_19","15_a_19"
"13",3512803,"Cosmópolis",2012,2504,"F","15_a_19","15_a_19"
"14",3512803,"Cosmópolis",2013,2536,"F","15_a_19","15_a_19"
"15",3512803,"Cosmópolis",2014,2568,"F","15_a_19","15_a_19"
"16",3512803,"Cosmópolis",2015,2599,"F","15_a_19","15_a_19"
"17",3512803,"Cosmópolis",2016,2565,"F","15_a_19","15_a_19"
"18",3512803,"Cosmópolis",2017,2531,"F","15_a_19","15_a_19"
"19",3512803,"Cosmópolis",2018,2496,"F","15_a_19","15_a_19"
"20",3512803,"Cosmópolis",2019,2461,"F","15_a_19","15_a_19"
"21",3512803,"Cosmópolis",2020,2425,"F","15_a_19","15_a_19"
"22",3512803,"Cosmópolis",2021,2424,"F","15_a_19","15_a_19"
"23",3512803,"Cosmópolis",2000,2224,"M","15_a_19","15_a_19"
"24",3512803,"Cosmópolis",2001,2262,"M","15_a_19","15_a_19"
"25",3512803,"Cosmópolis",2002,2296,"M","15_a_19","15_a_19"
"26",3512803,"Cosmópolis",2003,2329,"M","15_a_19","15_a_19"
"27",3512803,"Cosmópolis",2004,2360,"M","15_a_19","15_a_19"
"28",3512803,"Cosmópolis",2005,2387,"M","15_a_19","15_a_19"
"29",3512803,"Cosmópolis",2006,2412,"M","15_a_19","15_a_19"
"30",3512803,"Cosmópolis",2007,2436,"M","15_a_19","15_a_19"
"31",3512803,"Cosmópolis",2008,2458,"M","15_a_19","15_a_19"
"32",3512803,"Cosmópolis",2009,2480,"M","15_a_19","15_a_19"
"33",3512803,"Cosmópolis",2010,2498,"M","15_a_19","15_a_19"
"34",3512803,"Cosmópolis",2011,2523,"M","15_a_19","15_a_19"
"35",3512803,"Cosmópolis",2012,2548,"M","15_a_19","15_a_19"
"36",3512803,"Cosmópolis",2013,2572,"M","15_a_19","15_a_19"
"37",3512803,"Cosmópolis",2014,2596,"M","15_a_19","15_a_19"
"38",3512803,"Cosmópolis",2015,2619,"M","15_a_19","15_a_19"
"39",3512803,"Cosmópolis",2016,2616,"M","15_a_19","15_a_19"
"40",3512803,"Cosmópolis",2017,2612,"M","15_a_19","15_a_19"
"41",3512803,"Cosmópolis",2018,2608,"M","15_a_19","15_a_19"
"42",3512803,"Cosmópolis",2019,2603,"M","15_a_19","15_a_19"
"43",3512803,"Cosmópolis",2020,2597,"M","15_a_19","15_a_19"
"44",3512803,"Cosmópolis",2021,2564,"M","15_a_19","15_a_19"
"45",3512803,"Cosmópolis",2000,2146,"M","10_a_14","10_a_14"
"46",3512803,"Cosmópolis",2001,2183,"M","10_a_14","10_a_14"
"47",3512803,"Cosmópolis",2002,2218,"M","10_a_14","10_a_14"
