"","localidades","periodos","cod_ibge","faixa","pop","genero","faixa_etaria"
"1","Campinas",1980,3509502,"populacao_masculina",328499,"M","total"
"2","Campinas",1981,3509502,"populacao_masculina",335903,"M","total"
"3","Campinas",1982,3509502,"populacao_masculina",343399,"M","total"
"4","Campinas",1983,3509502,"populacao_masculina",350987,"M","total"
"5","Campinas",1984,3509502,"populacao_masculina",358663,"M","total"
"6","Campinas",1985,3509502,"populacao_masculina",366423,"M","total"
"7","Campinas",1986,3509502,"populacao_masculina",374268,"M","total"
"8","Campinas",1987,3509502,"populacao_masculina",382192,"M","total"
"9","Campinas",1988,3509502,"populacao_masculina",390191,"M","total"
"10","Campinas",1989,3509502,"populacao_masculina",398262,"M","total"
"11","Campinas",1990,3509502,"populacao_masculina",406401,"M","total"
"12","Campinas",1991,3509502,"populacao_masculina",414602,"M","total"
"13","Campinas",1992,3509502,"populacao_masculina",421108,"M","total"
"14","Campinas",1993,3509502,"populacao_masculina",427390,"M","total"
"15","Campinas",1994,3509502,"populacao_masculina",433629,"M","total"
"16","Campinas",1995,3509502,"populacao_masculina",439834,"M","total"
"17","Campinas",1996,3509502,"populacao_masculina",446003,"M","total"
"18","Campinas",1997,3509502,"populacao_masculina",452318,"M","total"
"19","Campinas",1998,3509502,"populacao_masculina",458819,"M","total"
"20","Campinas",1999,3509502,"populacao_masculina",465324,"M","total"
"21","Campinas",2000,3509502,"populacao_masculina",471574,"M","total"
"22","Campinas",2001,3509502,"populacao_masculina",477168,"M","total"
"23","Campinas",2002,3509502,"populacao_masculina",482220,"M","total"
"24","Campinas",2003,3509502,"populacao_masculina",486998,"M","total"
"25","Campinas",2004,3509502,"populacao_masculina",491796,"M","total"
"26","Campinas",2005,3509502,"populacao_masculina",496651,"M","total"
"27","Campinas",2006,3509502,"populacao_masculina",501328,"M","total"
"28","Campinas",2007,3509502,"populacao_masculina",505885,"M","total"
"29","Campinas",2008,3509502,"populacao_masculina",510588,"M","total"
"30","Campinas",2009,3509502,"populacao_masculina",515395,"M","total"
"31","Campinas",2010,3509502,"populacao_masculina",520439,"M","total"
"32","Campinas",2011,3509502,"populacao_masculina",525712,"M","total"
"33","Campinas",2012,3509502,"populacao_masculina",531039,"M","total"
"34","Campinas",2013,3509502,"populacao_masculina",536420,"M","total"
"35","Campinas",2014,3509502,"populacao_masculina",541855,"M","total"
"36","Campinas",2015,3509502,"populacao_masculina",547345,"M","total"
"37","Campinas",2016,3509502,"populacao_masculina",551266,"M","total"
"38","Campinas",2017,3509502,"populacao_masculina",555215,"M","total"
"39","Campinas",2018,3509502,"populacao_masculina",559193,"M","total"
"40","Campinas",2019,3509502,"populacao_masculina",563198,"M","total"
"41","Campinas",2020,3509502,"populacao_masculina",567233,"M","total"
"43","Campinas",1980,3509502,"populacao_masculina_de_0_a_4",40017,"M","0_a_4"
"44","Campinas",1981,3509502,"populacao_masculina_de_0_a_4",40033,"M","0_a_4"
"45","Campinas",1982,3509502,"populacao_masculina_de_0_a_4",40032,"M","0_a_4"
"46","Campinas",1983,3509502,"populacao_masculina_de_0_a_4",40018,"M","0_a_4"
"47","Campinas",1984,3509502,"populacao_masculina_de_0_a_4",39987,"M","0_a_4"
"48","Campinas",1985,3509502,"populacao_masculina_de_0_a_4",39942,"M","0_a_4"
"49","Campinas",1986,3509502,"populacao_masculina_de_0_a_4",39879,"M","0_a_4"
"50","Campinas",1987,3509502,"populacao_masculina_de_0_a_4",39801,"M","0_a_4"
"51","Campinas",1988,3509502,"populacao_masculina_de_0_a_4",39709,"M","0_a_4"
"52","Campinas",1989,3509502,"populacao_masculina_de_0_a_4",39600,"M","0_a_4"
"53","Campinas",1990,3509502,"populacao_masculina_de_0_a_4",39473,"M","0_a_4"
"54","Campinas",1991,3509502,"populacao_masculina_de_0_a_4",39333,"M","0_a_4"
"55","Campinas",1992,3509502,"populacao_masculina_de_0_a_4",39288,"M","0_a_4"
"56","Campinas",1993,3509502,"populacao_masculina_de_0_a_4",39205,"M","0_a_4"
"57","Campinas",1994,3509502,"populacao_masculina_de_0_a_4",39100,"M","0_a_4"
"58","Campinas",1995,3509502,"populacao_masculina_de_0_a_4",38976,"M","0_a_4"
"59","Campinas",1996,3509502,"populacao_masculina_de_0_a_4",38832,"M","0_a_4"
"60","Campinas",1997,3509502,"populacao_masculina_de_0_a_4",38685,"M","0_a_4"
"61","Campinas",1998,3509502,"populacao_masculina_de_0_a_4",38537,"M","0_a_4"
"62","Campinas",1999,3509502,"populacao_masculina_de_0_a_4",38373,"M","0_a_4"
"63","Campinas",2000,3509502,"populacao_masculina_de_0_a_4",38173,"M","0_a_4"
"64","Campinas",2001,3509502,"populacao_masculina_de_0_a_4",37688,"M","0_a_4"
"65","Campinas",2002,3509502,"populacao_masculina_de_0_a_4",37147,"M","0_a_4"
"66","Campinas",2003,3509502,"populacao_masculina_de_0_a_4",36589,"M","0_a_4"
"67","Campinas",2004,3509502,"populacao_masculina_de_0_a_4",36018,"M","0_a_4"
"68","Campinas",2005,3509502,"populacao_masculina_de_0_a_4",35450,"M","0_a_4"
"69","Campinas",2006,3509502,"populacao_masculina_de_0_a_4",34861,"M","0_a_4"
"70","Campinas",2007,3509502,"populacao_masculina_de_0_a_4",34266,"M","0_a_4"
"71","Campinas",2008,3509502,"populacao_masculina_de_0_a_4",33674,"M","0_a_4"
"72","Campinas",2009,3509502,"populacao_masculina_de_0_a_4",33090,"M","0_a_4"
"73","Campinas",2010,3509502,"populacao_masculina_de_0_a_4",32515,"M","0_a_4"
"74","Campinas",2011,3509502,"populacao_masculina_de_0_a_4",33398,"M","0_a_4"
"75","Campinas",2012,3509502,"populacao_masculina_de_0_a_4",34292,"M","0_a_4"
"76","Campinas",2013,3509502,"populacao_masculina_de_0_a_4",35195,"M","0_a_4"
"77","Campinas",2014,3509502,"populacao_masculina_de_0_a_4",36110,"M","0_a_4"
"78","Campinas",2015,3509502,"populacao_masculina_de_0_a_4",37033,"M","0_a_4"
