"Localidades";"Períodos";"Taxa de Natalidade (Por mil habitantes)";"Taxa de Fecundidade Geral (Por mil mulheres entre 15 e 49 anos)";"Esperança de Vida ao Nascer da População Total (Em anos)";"Índice de Envelhecimento (Em %)";"Cód. IBGE"
"Adamantina";"2015";"10,6";"41,37";"...";"121,71";3500105
"Adamantina";"2016";"11,13";"43,91";"...";"125,52";3500105
"Adamantina";"2017";"10,42";"41,58";"...";"129,45";3500105
"Adamantina";"2018";"11,21";"45,25";"...";"133,52";3500105
"Adamantina";"2019";"12,1";"49,38";"...";"137,54";3500105
"Adamantina";"2020";"";"";"...";"141,78";3500105
"Adamantina";"2021";"";"";"...";"145,98";3500105
"Adolfo";"2015";"15,14";"59,62";"...";"109,31";3500204
"Adolfo";"2016";"13,18";"52,51";"...";"115,42";3500204
"Adolfo";"2017";"11,78";"47,4";"...";"122,24";3500204
"Adolfo";"2018";"13,26";"53,99";"...";"129,09";3500204
"Adolfo";"2019";"11,86";"48,93";"...";"136,87";3500204
"Adolfo";"2020";"";"";"...";"144,95";3500204
"Adolfo";"2021";"";"";"...";"150,19";3500204
"Aguaí";"2015";"12,45";"46,36";"...";"62,86";3500303
"Aguaí";"2016";"11,65";"43,58";"...";"64,92";3500303
"Aguaí";"2017";"13,01";"48,83";"...";"67,05";3500303
"Aguaí";"2018";"13,06";"49,19";"...";"69,33";3500303
"Aguaí";"2019";"11,8";"44,62";"...";"71,67";3500303
"Aguaí";"2020";"";"";"...";"74,13";3500303
"Aguaí";"2021";"";"";"...";"76,52";3500303
"Águas da Prata";"2015";"9,61";"39,11";"...";"123,67";3500402
"Águas da Prata";"2016";"9,59";"39,07";"...";"127,99";3500402
"Águas da Prata";"2017";"10,08";"41,16";"...";"132,51";3500402
"Águas da Prata";"2018";"11,73";"48";"...";"137,45";3500402
"Águas da Prata";"2019";"5,4";"22,19";"...";"142,12";3500402
"Águas da Prata";"2020";"";"";"...";"147,27";3500402
"Águas da Prata";"2021";"";"";"...";"152,19";3500402
"Águas de Lindóia";"2015";"11,71";"43,8";"...";"85,99";3500501
"Águas de Lindóia";"2016";"11,92";"45,12";"...";"87,51";3500501
"Águas de Lindóia";"2017";"12,63";"48,34";"...";"89,09";3500501
"Águas de Lindóia";"2018";"10,57";"40,95";"...";"90,63";3500501
"Águas de Lindóia";"2019";"12,92";"50,65";"...";"91,95";3500501
"Águas de Lindóia";"2020";"";"";"...";"93,41";3500501
"Águas de Lindóia";"2021";"";"";"...";"95,15";3500501
"Águas de Santa Bárbara";"2015";"15,08";"57,73";"...";"84,58";3500550
"Águas de Santa Bárbara";"2016";"15,51";"59,72";"...";"87,04";3500550
"Águas de Santa Bárbara";"2017";"12";"46,64";"...";"89,52";3500550
