"Localidades";"Períodos";"Taxa de Mortalidade Infantil (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal Precoce (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal (Por mil nascidos vivos)";"Taxa de Mortalidade Pós Neonatal (Por mil nascidos vivos)";"Taxa de Mortalidade Neonatal Tardia (Por mil nascidos vivos)";"Cód. IBGE"
"Adamantina";"2015";"11,14";"2,79";"8,36";"2,79";"5,57";3500105
"Adamantina";"2016";"18,57";"5,31";"5,31";"13,26";"-";3500105
"Adamantina";"2017";"8,5";"5,67";"5,67";"2,83";"-";3500105
"Adamantina";"2018";"5,26";"5,26";"5,26";"-";"-";3500105
"Adamantina";"2019";"2,44";"2,44";"2,44";"-";"-";3500105
"Adolfo";"2015";"18,87";"-";"-";"18,87";"-";3500204
"Adolfo";"2016";"-";"-";"-";"-";"-";3500204
"Adolfo";"2017";"-";"-";"-";"-";"-";3500204
"Adolfo";"2018";"21,74";"-";"-";"21,74";"-";3500204
"Adolfo";"2019";"-";"-";"-";"-";"-";3500204
"Aguaí";"2015";"9,48";"2,37";"4,74";"4,74";"2,37";3500303
"Aguaí";"2016";"22,56";"12,53";"22,56";"-";"10,03";3500303
"Aguaí";"2017";"15,56";"11,11";"11,11";"4,44";"-";3500303
"Aguaí";"2018";"6,58";"4,39";"6,58";"-";"2,19";3500303
"Aguaí";"2019";"7,21";"7,21";"7,21";"-";"-";3500303
"Águas da Prata";"2015";"-";"-";"-";"-";"-";3500402
"Águas da Prata";"2016";"13,51";"-";"-";"13,51";"-";3500402
"Águas da Prata";"2017";"-";"-";"-";"-";"-";3500402
"Águas da Prata";"2018";"21,98";"21,98";"21,98";"-";"-";3500402
"Águas da Prata";"2019";"-";"-";"-";"-";"-";3500402
"Águas de Lindóia";"2015";"-";"-";"-";"-";"-";3500501
"Águas de Lindóia";"2016";"9,35";"9,35";"9,35";"-";"-";3500501
"Águas de Lindóia";"2017";"8,77";"-";"4,39";"4,39";"4,39";3500501
"Águas de Lindóia";"2018";"5,21";"5,21";"5,21";"-";"-";3500501
"Águas de Lindóia";"2019";"8,47";"8,47";"8,47";"-";"-";3500501
"Águas de Santa Bárbara";"2015";"-";"-";"-";"-";"-";3500550
"Águas de Santa Bárbara";"2016";"22,22";"22,22";"22,22";"-";"-";3500550
"Águas de Santa Bárbara";"2017";"-";"-";"-";"-";"-";3500550
